Education,JoiningYear,City,Age,Gender,EverBenched,ExperienceInCurrentDomain,LeaveOrNot,Salary
Bachelors,2017,Bangalore,34,Male,No,0,0,84116.6
Bachelors,2013,Pune,28,Female,No,3,1,32678.82
Bachelors,2014,New Delhi,38,Female,No,2,0,67390.16
Masters,2016,Bangalore,27,Male,No,5,1,73902.99
Masters,2017,Pune,24,Male,Yes,2,1,73780.5
Bachelors,2016,Bangalore,22,Male,No,0,0,100133.12
Bachelors,2015,New Delhi,38,Male,No,0,0,86644.1
Bachelors,2016,Bangalore,34,Female,No,2,1,79024.52
Bachelors,2016,Pune,23,Male,No,1,0,91556.32
Masters,2017,New Delhi,37,Male,No,2,0,59451.68
Masters,2012,Bangalore,27,Male,No,5,1,75114.81
Bachelors,2016,Pune,34,Male,No,3,0,71493.71
Bachelors,2018,Pune,32,Male,Yes,5,1,98605.72
Bachelors,2016,Bangalore,39,Male,No,2,0,59271.69
Bachelors,2012,Bangalore,37,Male,No,4,0,87489.82
Bachelors,2017,Bangalore,29,Male,No,3,0,12269.25
Bachelors,2014,Bangalore,34,Female,No,2,0,84257.96
Bachelors,2014,Pune,34,Male,No,4,0,92065.54
Bachelors,2015,Pune,30,Female,No,0,1,47273.42
Bachelors,2016,New Delhi,22,Female,No,0,1,55252.9
Bachelors,2012,Bangalore,37,Male,No,0,0,72527.22
Masters,2017,New Delhi,28,Male,No,4,0,53081.4
Bachelors,2017,New Delhi,36,Male,No,3,0,78468.31
Bachelors,2015,Bangalore,27,Male,Yes,5,0,74248.01
Bachelors,2017,Bangalore,29,Male,No,4,0,81241.3
Bachelors,2013,Bangalore,22,Female,Yes,0,0,75828.1
Bachelors,2016,Bangalore,37,Male,No,2,0,104661.47
Bachelors,2015,Bangalore,23,Male,No,1,0,90537.0
Bachelors,2013,Pune,31,Female,No,2,1,52751.69
Masters,2017,New Delhi,30,Female,No,2,0,41709.15
PHD,2013,New Delhi,25,Male,No,3,0,73245.2
Bachelors,2014,Bangalore,23,Male,No,1,0,73269.12
Bachelors,2018,Bangalore,26,Male,No,4,1,88405.58
Bachelors,2016,Bangalore,40,Male,No,5,0,66713.86
Bachelors,2017,Pune,37,Female,No,0,1,45820.11
Bachelors,2014,Bangalore,30,Female,No,3,0,37528.35
Bachelors,2012,New Delhi,29,Male,No,3,0,99096.39
Bachelors,2018,New Delhi,34,Female,No,0,1,49712.43
Bachelors,2017,Pune,29,Female,No,2,1,38685.58
Bachelors,2014,Pune,30,Male,Yes,4,0,76788.39
Bachelors,2015,Bangalore,36,Male,No,1,0,83149.01
Masters,2017,New Delhi,23,Male,No,1,0,49720.06
Bachelors,2013,Bangalore,30,Male,No,3,1,77288.19
Bachelors,2014,Bangalore,36,Male,No,0,0,60871.86
Bachelors,2015,Pune,39,Male,No,4,0,103233.67
Bachelors,2014,Bangalore,23,Female,No,1,0,78160.11
PHD,2012,New Delhi,27,Male,No,5,0,80038.98
Masters,2013,New Delhi,35,Male,No,2,0,83155.9
Masters,2017,New Delhi,34,Male,No,0,0,47134.96
Bachelors,2013,Bangalore,30,Female,No,1,0,75484.36
PHD,2017,New Delhi,34,Male,No,2,0,90090.12
Bachelors,2015,Pune,26,Female,No,4,1,42322.73
Bachelors,2016,Bangalore,34,Female,No,0,0,71042.12
Bachelors,2014,Bangalore,31,Female,Yes,5,0,64589.77
Bachelors,2017,New Delhi,31,Female,Yes,5,0,94143.19
PHD,2013,New Delhi,28,Male,No,2,0,86541.99
Bachelors,2016,Bangalore,38,Male,No,2,0,70515.77
Masters,2014,Pune,39,Female,No,2,0,91945.53
Bachelors,2013,Pune,32,Male,No,4,0,92174.82
Masters,2017,Pune,36,Male,No,2,1,57958.06
Masters,2013,New Delhi,29,Male,No,3,0,82438.74
Bachelors,2015,Bangalore,30,Male,No,5,0,83444.95
PHD,2013,Bangalore,25,Male,No,3,1,55271.55
Bachelors,2014,Pune,22,Female,No,0,1,26281.12
Bachelors,2016,Bangalore,34,Male,No,4,0,63719.07
Bachelors,2018,Bangalore,40,Male,No,1,1,64272.41
PHD,2013,Bangalore,26,Male,No,4,0,77673.1
Bachelors,2014,New Delhi,28,Male,No,0,0,106024.24
Bachelors,2015,Bangalore,24,Female,No,2,0,67122.96
Masters,2017,Bangalore,40,Female,No,2,1,70730.08
Bachelors,2018,Bangalore,23,Female,No,1,1,86194.22
Masters,2017,Bangalore,31,Male,No,4,0,73364.44
Bachelors,2014,Pune,25,Female,No,3,0,41440.59
Bachelors,2014,Bangalore,27,Male,No,5,0,38245.65
Masters,2017,New Delhi,25,Female,No,3,1,48982.76
Bachelors,2015,Bangalore,40,Male,No,0,1,86240.22
Bachelors,2014,Bangalore,23,Female,No,1,0,29132.7
Bachelors,2017,Bangalore,23,Female,No,1,0,90022.03
Bachelors,2012,Bangalore,39,Male,No,1,0,96973.14
PHD,2015,New Delhi,37,Male,No,1,0,29772.84
Bachelors,2017,Pune,38,Male,No,2,0,90363.69
Bachelors,2013,Bangalore,31,Female,No,0,1,69594.44
Bachelors,2016,Bangalore,38,Male,No,5,0,62839.07
Bachelors,2017,Bangalore,25,Female,No,3,0,79667.98
Bachelors,2015,Bangalore,27,Female,Yes,5,1,69332.36
Bachelors,2016,Pune,36,Male,No,0,1,56620.25
Bachelors,2017,Pune,27,Female,No,5,1,58502.16
Masters,2015,Pune,32,Female,No,4,0,35361.85
Bachelors,2014,Bangalore,28,Male,No,4,0,97332.3
Masters,2012,New Delhi,32,Male,No,2,0,109410.61
Bachelors,2018,Bangalore,30,Male,No,0,1,91433.84
Bachelors,2015,New Delhi,22,Male,No,0,0,80466.09
Bachelors,2017,New Delhi,34,Female,No,5,0,51318.1
Masters,2013,New Delhi,36,Male,No,2,0,85869.49
Bachelors,2014,Bangalore,39,Male,No,3,1,84768.06
